Book-Title,Book-Author,Year-Of-Publication,Image-URL-L,Num_views,Num_ratings,Avg_ratings
Wild Animus,Rich Shapero,2004,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,2502,581,4.4
The Lovely Bones: A Novel,Alice Sebold,2002,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg,1295,707,8.2
The Da Vinci Code,Dan Brown,2003,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg,898,494,8.4
A Painted House,JOHN GRISHAM,2001,http://images.amazon.com/images/P/038550120X.01.LZZZZZZZ.jpg,838,366,7.4
The Nanny Diaries: A Novel,Emma McLaughlin,2002,http://images.amazon.com/images/P/0312278586.01.LZZZZZZZ.jpg,828,393,7.4
Bridget Jones's Diary,Helen Fielding,2001,http://images.amazon.com/images/P/0141000198.01.LZZZZZZZ.jpg,815,377,7.6
The Secret Life of Bees,Sue Monk Kidd,2003,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg,774,406,8.5
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,http://images.amazon.com/images/P/0060928336.01.LZZZZZZZ.jpg,740,323,7.9
The Red Tent (Bestselling Backlist),Anita Diamant,1998,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg,723,383,8.2
Angels &amp; Demons,Dan Brown,2001,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg,670,310,8.0
Life of Pi,Yann Martel,2002,http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg,664,336,8.1
Snow Falling on Cedars,David Guterson,1995,http://images.amazon.com/images/P/067976402X.01.LZZZZZZZ.jpg,662,275,7.8
The Summons,John Grisham,2002,http://images.amazon.com/images/P/0385503822.01.LZZZZZZZ.jpg,655,309,7.3
The Notebook,Nicholas Sparks,1996,http://images.amazon.com/images/P/0446520802.01.LZZZZZZZ.jpg,650,293,7.9
The Testament,John Grisham,1999,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,617,261,7.5
House of Sand and Fog,Andre Dubus III,2000,http://images.amazon.com/images/P/0375727345.01.LZZZZZZZ.jpg,588,242,7.4
Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,http://images.amazon.com/images/P/0446672211.01.LZZZZZZZ.jpg,585,295,8.1
The Pelican Brief,JOHN GRISHAM,1992,http://images.amazon.com/images/P/0385421982.01.LZZZZZZZ.jpg,581,198,7.7
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg,575,315,8.9
The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,http://images.amazon.com/images/P/0140293248.01.LZZZZZZZ.jpg,573,259,6.9
Summer Sisters,Judy Blume,1999,http://images.amazon.com/images/P/0440226430.01.LZZZZZZZ.jpg,573,257,7.5
The Firm,John Grisham,1992,http://images.amazon.com/images/P/044021145X.01.LZZZZZZZ.jpg,569,224,7.8
The Pilot's Wife : A Novel,Anita Shreve,1999,http://images.amazon.com/images/P/0316601950.01.LZZZZZZZ.jpg,568,272,7.5
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg,556,326,8.8
The Brethren,John Grisham,2000,http://images.amazon.com/images/P/0440236673.01.LZZZZZZZ.jpg,556,213,7.4
The Joy Luck Club,Amy Tan,1991,http://images.amazon.com/images/P/0749399570.01.LZZZZZZZ.jpg,555,208,8.2
Timeline,MICHAEL CRICHTON,2000,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,552,263,7.9
A Time to Kill,JOHN GRISHAM,1992,http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg,549,214,8.0
The Street Lawyer,JOHN GRISHAM,1999,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,545,206,7.5
Girl with a Pearl Earring,Tracy Chevalier,2001,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg,526,278,8.0
