Book-Title,Book-Author,Year-Of-Publication,Image-URL-L,Num_views,Num_ratings,Avg_ratings
"More All-Jewish Cartoons, Yet: And Just As Kosher As the Others",Mort Gerberg,1987,http://images.amazon.com/images/P/0399513957.01.LZZZZZZZ.jpg,1,1,8.0
Knight's Castle (Edward Eager's Tales of Magic),Edward Eager,1999,http://images.amazon.com/images/P/0152020748.01.LZZZZZZZ.jpg,1,1,8.0
"Message from Space (Choose Your Own Adventure, No 7)",Edward Packard,1989,http://images.amazon.com/images/P/0553231855.01.LZZZZZZZ.jpg,3,1,7.0
Dogs Have the Strangest Friends: &amp; Other True Stories of Animal Feelings,Shirley Felts,2000,http://images.amazon.com/images/P/0525457453.01.LZZZZZZZ.jpg,2,1,7.0
Hoax: Why Americans Are Suckered by White House Lies,Nicholas Von Hoffman,2004,http://images.amazon.com/images/P/156025582X.01.LZZZZZZZ.jpg,1,1,9.0
The Epicure's Lament,KATE CHRISTENSEN,2004,http://images.amazon.com/images/P/0767910303.01.LZZZZZZZ.jpg,1,1,7.0
Alpha and Omega: The Search for the Beginning and End of the Universe,Charles Seife,2003,http://images.amazon.com/images/P/0670031798.01.LZZZZZZZ.jpg,1,1,6.0
"The Bluegrass Conspiracy: An Inside Story of Power, Greed, Drugs and Murder",Sally Denton,2001,http://images.amazon.com/images/P/0595196667.01.LZZZZZZZ.jpg,1,1,5.0
Elementary surveying,Paul R Wolf,1989,http://images.amazon.com/images/P/0060410132.01.LZZZZZZZ.jpg,1,1,6.0
Bitter Grounds,Sandra Benitez,1998,http://images.amazon.com/images/P/0312195419.01.LZZZZZZZ.jpg,7,1,8.0
The End of Science,John Horgan,1996,http://images.amazon.com/images/P/0201626799.01.LZZZZZZZ.jpg,1,1,5.0
The Grail of Hearts,Susan Shwartz,1993,http://images.amazon.com/images/P/0812554094.01.LZZZZZZZ.jpg,2,1,5.0
The RELUCTANT KING,L. Sprague De Camp,1996,http://images.amazon.com/images/P/0671877461.01.LZZZZZZZ.jpg,2,1,9.0
Drakon,S.M. Stirling,1996,http://images.amazon.com/images/P/0671877119.01.LZZZZZZZ.jpg,1,1,5.0
Lord Kelvin's Machine,James P. Blaylock,1992,http://images.amazon.com/images/P/0441499724.01.LZZZZZZZ.jpg,1,1,7.0
The Players of Null-A,A. E. Van Vogt,1982,http://images.amazon.com/images/P/0425054802.01.LZZZZZZZ.jpg,1,1,5.0
"Salmon Nation: People, Fish, and Our Common Home",Elizabeth Woody,2003,http://images.amazon.com/images/P/0967636418.01.LZZZZZZZ.jpg,2,1,7.0
News from the Edge: Vampires of Vermont (News from the Edge),Mark Sumner,1999,http://images.amazon.com/images/P/0441006280.01.LZZZZZZZ.jpg,5,1,7.0
Sometimes They Bite,Lawrence Block,1992,http://images.amazon.com/images/P/0380715759.01.LZZZZZZZ.jpg,1,1,3.0
Corpse de Ballet : A Nine Muses Mystery: Terpsichore (A Nine Muses Mystery),Ellen Pall,2002,http://images.amazon.com/images/P/0312980108.01.LZZZZZZZ.jpg,2,1,9.0
And Now Miguel (The Literature Experience 1991 Series),Houghton Mifflin Company Staff,1990,http://images.amazon.com/images/P/0395551722.01.LZZZZZZZ.jpg,1,1,6.0
Bailey Goes Camping,Kevin Henkes,1997,http://images.amazon.com/images/P/0688152880.01.LZZZZZZZ.jpg,1,1,5.0
The Lost Letters of Pergamum: A Story from the New Testament World,Bruce W. Longenecker,2002,http://images.amazon.com/images/P/0801026075.01.LZZZZZZZ.jpg,1,1,10.0
The Fisherman,Larry Huntsperger,2003,http://images.amazon.com/images/P/0800758447.01.LZZZZZZZ.jpg,1,1,8.0
"A Lady, First: My Life in the Kennedy White House and the American Embassies of Paris and Rome",Letitia Baldrige,2001,http://images.amazon.com/images/P/0670894532.01.LZZZZZZZ.jpg,1,1,6.0
The Savage Wars of Peace: Small Wars and the Rise of American Power,Max Boot,2002,http://images.amazon.com/images/P/0465007201.01.LZZZZZZZ.jpg,1,1,8.0
FEG: Ridiculous Stupid Poems for Intelligent Children,Robin Hirsch,2002,http://images.amazon.com/images/P/0316363448.01.LZZZZZZZ.jpg,3,1,4.0
Shop Tips from America's Best Woodworkers: Expert Advice on Making the Most of Your Shop Time and Tools,Rodale Press,1994,http://images.amazon.com/images/P/0875965911.01.LZZZZZZZ.jpg,1,1,7.0
We're Back!: Dinosaurs on Parade,Francine Hughes,1993,http://images.amazon.com/images/P/044840446X.01.LZZZZZZZ.jpg,4,1,8.0
Something Queer at the Scary Movie,Elizabeth Levy,1995,http://images.amazon.com/images/P/0786810564.01.LZZZZZZZ.jpg,1,1,10.0
