Book-Title,Book-Author,Year-Of-Publication,Image-URL-L,Num_views,Num_ratings,Avg_ratings
"More All-Jewish Cartoons, Yet: And Just As Kosher As the Others",Mort Gerberg,1987,http://images.amazon.com/images/P/0399513957.01.LZZZZZZZ.jpg,1,1,8.0
Authority in Language: Investigating...+,James Milroy,1998,http://images.amazon.com/images/P/0415174139.01.LZZZZZZZ.jpg,1,1,10.0
The Feminist Critique of Language:...+,Deborah Cameron,1998,http://images.amazon.com/images/P/0415164001.01.LZZZZZZZ.jpg,1,1,1.0
Cajas De Carton,Francisco Jimenez,2000,http://images.amazon.com/images/P/0395955815.01.LZZZZZZZ.jpg,1,1,10.0
The Buried Mirror : Reflections on Spain and the New World,Carlos Fuentes,1999,http://images.amazon.com/images/P/0395924995.01.LZZZZZZZ.jpg,1,1,10.0
"Working With Ideas: Reading...+",Donna Dunbar-Odom,2001,http://images.amazon.com/images/P/0395881544.01.LZZZZZZZ.jpg,1,1,10.0
Making Choices: Reading Issues in Context,Michael E. Cooley,1996,http://images.amazon.com/images/P/0395738652.01.LZZZZZZZ.jpg,1,1,5.0
David Wiesner's Tuesday/Book and Frog: Book &amp; Doll Gift Box,David Wiesner,1995,http://images.amazon.com/images/P/0395735114.01.LZZZZZZZ.jpg,1,1,10.0
"Roll, Jordan, Roll: The World the Slaves Made",Eugene D. Genovese,1976,http://images.amazon.com/images/P/0394716523.01.LZZZZZZZ.jpg,1,1,7.0
Making of the English Working Class,E. P. Thompson,1966,http://images.amazon.com/images/P/0394703227.01.LZZZZZZZ.jpg,1,1,10.0
Coleridge's Poetry and Prose...+,Samuel Taylor Coleridge,2003,http://images.amazon.com/images/P/0393979040.01.LZZZZZZZ.jpg,1,1,10.0
The Jungle (Norton Critical Editions),Upton Sinclair,2002,http://images.amazon.com/images/P/039397779X.01.LZZZZZZZ.jpg,1,1,10.0
"George Bernard Shaw's Plays, Second Edition...+",Bernard Shaw,2002,http://images.amazon.com/images/P/0393977536.01.LZZZZZZZ.jpg,1,1,10.0
The Mayor of Casterbridge (Norton Critical Edition),Thomas Hardy,2000,http://images.amazon.com/images/P/0393974987.01.LZZZZZZZ.jpg,1,1,10.0
Primate Diversity,Dean Falk,1999,http://images.amazon.com/images/P/0393974286.01.LZZZZZZZ.jpg,1,1,10.0
"Beowulf: A Prose Translation, Second Edition (Norton Critical Editions)",E. Talbot Donaldson,2001,http://images.amazon.com/images/P/0393974065.01.LZZZZZZZ.jpg,1,1,10.0
"The Peloponnesian War: A New Translation...+",Thucydides,1998,http://images.amazon.com/images/P/0393971678.01.LZZZZZZZ.jpg,1,1,6.0
Kim (Norton Critical Editions),Rudyard Kipling,2002,http://images.amazon.com/images/P/039396650X.01.LZZZZZZZ.jpg,1,1,10.0
The Logic of Scientific Discovery (Routledge Classics),Karl Popper,2002,http://images.amazon.com/images/P/0415278449.01.LZZZZZZZ.jpg,1,1,10.0
The Good Soldier (Norton Critical Edition),Ford Madox Ford,1995,http://images.amazon.com/images/P/0393966348.01.LZZZZZZZ.jpg,1,1,8.0
Conjectures and Refutations: The Growth of Scientific Knowledge (Routledge Classics),Karl Raimund Popper,2002,http://images.amazon.com/images/P/0415285941.01.LZZZZZZZ.jpg,1,1,10.0
Live Sex Acts: Women Performing Erotic Labor,W. Chapkis,1997,http://images.amazon.com/images/P/0415912881.01.LZZZZZZZ.jpg,1,1,10.0
Women of the Klan: Racism and Gender in the 1920s,Kathleen M. Blee,1992,http://images.amazon.com/images/P/0520078764.01.LZZZZZZZ.jpg,1,1,10.0
This Is Not a Pipe,Michel Foucault,1983,http://images.amazon.com/images/P/0520049160.01.LZZZZZZZ.jpg,1,1,10.0
Tar Beach: C,Faith Ringgold,1996,http://images.amazon.com/images/P/0517885441.01.LZZZZZZZ.jpg,1,1,10.0
Bruegel (World of Art),Walter S. Gibson,1985,http://images.amazon.com/images/P/0500201560.01.LZZZZZZZ.jpg,1,1,10.0
Later Symphonies,W. A. Mozart,1974,http://images.amazon.com/images/P/048623052X.01.LZZZZZZZ.jpg,1,1,10.0
Mass Spectrometry : Principles...+,2001,http://images.amazon.com/images/P/0471485667.01.LZZZZZZZ.jpg,1,1,10.0
"Human Geography : Culture, Society, and Space",H. J. de  Blij,2002,http://images.amazon.com/images/P/0471441074.01.LZZZZZZZ.jpg,1,1,10.0
The New Golden Rule: Community and Morality in a Democratic Society,Amitai Etzioni,1998,http://images.amazon.com/images/P/0465049990.01.LZZZZZZZ.jpg,1,1,5.0
