Book-Title,Book-Author,Year-Of-Publication,Image-URL-L,Num_views,Num_ratings,Avg_ratings
Organizing Genius: The Secrets of Creative Collaboration,Warren Bennis,1998,http://images.amazon.com/images/P/0201339897.01.LZZZZZZZ.jpg,3,1,1.0
WHY DOES HE SAY ONE THING AND DO ANOTHER,Robin Mcnaughton,1997,http://images.amazon.com/images/P/0671002074.01.LZZZZZZZ.jpg,1,1,1.0
Der Plan. JubilÃ?Â¤ums- Edition.,Gerhard Roth,2002,http://images.amazon.com/images/P/359650533X.01.LZZZZZZZ.jpg,3,1,1.0
Silentium.,Wolf Haas,1999,http://images.amazon.com/images/P/3499228300.01.LZZZZZZZ.jpg,1,1,1.0
Through the Hidden Door,Rosemary Wells,1988,http://images.amazon.com/images/P/0590440136.01.LZZZZZZZ.jpg,4,1,1.0
"Julia, angeklickt. Ein erotischer Internet- Roman.",Carsten Sebastian Henn,2000,http://images.amazon.com/images/P/3499262436.01.LZZZZZZZ.jpg,1,1,1.0
Peace Corps - The Great Adventure: Volunteer Stories of Life Overseas,Peace Corps,1999,http://images.amazon.com/images/P/096444724X.01.LZZZZZZZ.jpg,3,1,1.0
Bollywood Boy (John Murray Paperbacks),Justine Hardy,2003,http://images.amazon.com/images/P/0719564859.01.LZZZZZZZ.jpg,2,1,1.0
Requiem for a Lightweight: Stockwell Day and Image Politics,Trevor Harrison,2002,http://images.amazon.com/images/P/1551642069.01.LZZZZZZZ.jpg,1,1,1.0
How To Succeed With Men,David Copeland,2000,http://images.amazon.com/images/P/0735201404.01.LZZZZZZZ.jpg,2,1,1.0
Full Spectrum Dominance: U.S. Power in Iraq and Beyond,Rahul Mahajan,2003,http://images.amazon.com/images/P/1583225781.01.LZZZZZZZ.jpg,2,1,1.0
Araki: Tokyo Lucky Hole,Nobuyoshi Araki,1997,http://images.amazon.com/images/P/3822881899.01.LZZZZZZZ.jpg,1,1,1.0
The Autobiography of Joseph Stalin: A Novel,Richard Lourie,2000,http://images.amazon.com/images/P/0306809974.01.LZZZZZZZ.jpg,2,1,1.0
"Karloff's Circus (The Accomplice Series, 4)",Steve Aylett,2004,http://images.amazon.com/images/P/0575070897.01.LZZZZZZZ.jpg,1,1,1.0
Ordinary Enlightenment : A Translation of the Vimalakirti Nirdesa,CHARLES LUK,2002,http://images.amazon.com/images/P/1570629714.01.LZZZZZZZ.jpg,1,1,1.0
The catalogue of men,David Pownall,2000,http://images.amazon.com/images/P/0330374419.01.LZZZZZZZ.jpg,2,1,1.0
"Search For The Rainb (Harlequin Superromance, No 266)",Sharon Brondos,1987,http://images.amazon.com/images/P/0373702663.01.LZZZZZZZ.jpg,4,1,1.0
"Mom, Inc: Taking Your Work Skills Home",Neale S. Godfrey,1999,http://images.amazon.com/images/P/1559275596.01.LZZZZZZZ.jpg,5,1,1.0
Positive Solitude : A Practical Program for Mastering Loneliness and Achieving Self-Fulfillment,Rae Andre,2000,http://images.amazon.com/images/P/0595154891.01.LZZZZZZZ.jpg,1,1,1.0
Make It with Microsoft Office XP,Vicki Sharp,2003,http://images.amazon.com/images/P/158912216X.01.LZZZZZZZ.jpg,1,1,1.0
Smoked: A True Story About the Kids Next Door,Leon Bing,1993,http://images.amazon.com/images/P/0060169206.01.LZZZZZZZ.jpg,2,1,1.0
Senor Vivo und die Kokobriefe.,Louis de Bernieres,1998,http://images.amazon.com/images/P/3596136598.01.LZZZZZZZ.jpg,1,1,1.0
"The Cereal Box Mystery (Boxcar Children Mysteries, 65)",Gertrude Chandler Warner,1998,http://images.amazon.com/images/P/0807511153.01.LZZZZZZZ.jpg,1,1,1.0
Measure of a Woman,Gene A. Getz,1984,http://images.amazon.com/images/P/0830713867.01.LZZZZZZZ.jpg,1,1,1.0
Bericht von Ursprung und Bestimmung des Menschen.,Edgar Cayce,1998,http://images.amazon.com/images/P/3442118042.01.LZZZZZZZ.jpg,2,1,1.0
Sams Teach Yourself Red Hat LINUX in 24 Hours (With CD-ROM),Judith Samson,2000,http://images.amazon.com/images/P/0672318458.01.LZZZZZZZ.jpg,1,1,1.0
Boytalk: How to Talk to Your Favorite Guy,Tracey Dils,1992,http://images.amazon.com/images/P/0307221040.01.LZZZZZZZ.jpg,2,1,1.0
The Passion and the Fury,Amanda Jean Jarrett,1983,http://images.amazon.com/images/P/1576574067.01.LZZZZZZZ.jpg,2,1,1.0
Die nachgeholten Freuden: Roman (BÃ¼cher der bÃ¶hmischen DÃ¶rfer),Ludwig Winder,1987,http://images.amazon.com/images/P/355203921X.01.LZZZZZZZ.jpg,4,1,1.0
Loving Torment,Rochelle Wayne,1986,http://images.amazon.com/images/P/0821717626.01.LZZZZZZZ.jpg,2,1,1.0
